"junior" "senior" "rule"
"Baldwinonus_dunkardensis" "Baldwinonus_trux" "rule_1b"
"Stereorhachis_dominans" "Stereophallodon_ciscoensis" "rule_2b"
"Heishanlestes_changi" "Lactodens_sheni" "rule_2b"
"Spalacolestes_inconcinnus" "Spalacolestes_cretulablatta" "rule_2b"
"Spalacotheridium_mckennai" "Spalacotheridium_noblei" "rule_1b"
"Symmetrodontoides_canadensis" "Symmetrodontoides_foxi" "rule_1b"
"Symmetrodontoides_canadensis" "Symmetrodontoides_oligodontos" "rule_1b"
"Symmetrodontoides_foxi" "Symmetrodontoides_oligodontos" "rule_1b"
"Dinosaurus_murchisoni" "Gorgodon_minutus" "rule_1b"
"Jonkeria_ingens" "Jonkeria_truculenta" "rule_2b"
"Allacerops_turgaica" "Eggysodon_osborni" "rule_1b"
"Amynodon_advenus" "Rostriamynodon_grangeri" "rule_1b"
"Ardynia_praecox" "Triplopides_rieli" "rule_1b"
"Paraceratherium_grangeri" "Urtinotherium_intermedium" "rule_1b"
"Subhyracodon_occidentalis" "Trigonias_osborni" "rule_1b"
"Carpodaptes_aulacodon" "Carpodaptes_cygneus" "rule_1b"
"Carpodaptes_aulacodon" "Carpodaptes_hazelae" "rule_1b"
"Carpodaptes_aulacodon" "Carpodaptes_hobackensis" "rule_1b"
"Carpodaptes_aulacodon" "Carpodaptes_jepseni" "rule_1b"
"Carpodaptes_cygneus" "Carpodaptes_hazelae" "rule_1b"
"Carpodaptes_cygneus" "Carpodaptes_hobackensis" "rule_1b"
"Carpodaptes_cygneus" "Carpodaptes_jepseni" "rule_1b"
"Carpodaptes_hazelae" "Carpodaptes_hobackensis" "rule_1b"
"Carpodaptes_hazelae" "Carpodaptes_jepseni" "rule_1b"
"Carpodaptes_hobackensis" "Carpodaptes_jepseni" "rule_1b"
"Carpolestes_dubius" "Carpolestes_simpsoni" "rule_1b"
"Chalicomomys_antelucanus" "Foxomomys_fremdi" "rule_1b"
"Chalicomomys_antelucanus" "Micromomys_silvercouleei" "rule_1b"
"Chalicomomys_antelucanus" "Tinimomys_graybulliensis" "rule_1b"
"Donrussellia_gallica" "Donrussellia_provincialis" "rule_1b"
"Dryomomys_szalayi" "Dryomomys_willwoodensis" "rule_1b"
"Foxomomys_fremdi" "Micromomys_silvercouleei" "rule_1b"
"Foxomomys_fremdi" "Tinimomys_graybulliensis" "rule_1b"
"Genetta_genetta" "Genetta_tigrina" "rule_1b"
"Heterohyus_nanus" "Sinclairella_dakotensis" "rule_1b"
"Ignacius_clarkforkensis" "Ignacius_graybullianus" "rule_1b"
"Micromomys_silvercouleei" "Tinimomys_graybulliensis" "rule_1b"
"Microsyops_annectens" "Microsyops_knightensis" "rule_1b"
"Nannodectes_intermedius" "Nannodectes_gidleyi" "rule_2b"
"Paromomys_depressidens" "Paromomys_maturus" "rule_1b"
"Phenacolemur_praecox" "Phenacolemur_simonsi" "rule_1b"
"Plesiadapis_cookei" "Plesiadapis_rex" "rule_1b"
"Plesiadapis_cookei" "Plesiadapis_walbeckensis" "rule_1b"
"Plesiadapis_cookei" "Plesiadapis_tricuspidens" "rule_2b"
"Plesiadapis_rex" "Plesiadapis_walbeckensis" "rule_1b"
"Plesiadapis_rex" "Plesiadapis_tricuspidens" "rule_2b"
"Plesiadapis_walbeckensis" "Plesiadapis_tricuspidens" "rule_2b"
"Pronothodectes_gaoi" "Pronothodectes_jepi" "rule_1b"
"Pronothodectes_gaoi" "Pronothodectes_matthewi" "rule_1b"
"Pronothodectes_jepi" "Pronothodectes_matthewi" "rule_1b"
"Shoshonius_bowni" "Shoshonius_cooperi" "rule_1b"
"Sorex_cinereus" "Sorex_longirostris" "rule_1b"
"Sorex_cinereus" "Sorex_palustris" "rule_1b"
"Sorex_longirostris" "Sorex_palustris" "rule_1b"
"Teilhardina_americana" "Teilhardina_belgica" "rule_1b"
"Amphiperatherium_ambiguum" "Amphiperatherium_exile" "rule_1b"
"Amphiperatherium_ambiguum" "Amphiperatherium_lamandini" "rule_1b"
"Amphiperatherium_ambiguum" "Amphiperatherium_minutum" "rule_1b"
"Amphiperatherium_exile" "Amphiperatherium_lamandini" "rule_1b"
"Amphiperatherium_exile" "Amphiperatherium_minutum" "rule_1b"
"Amphiperatherium_lamandini" "Amphiperatherium_minutum" "rule_1b"
"Arctodictis_sinclairi" "Borhyaena_tuberata" "rule_2b"
"Cladosictis_centralis" "Sipalocyon_gracilis" "rule_2b"
"Peradectes_chesteri" "Peradectes_elegans" "rule_2b"
"Peratherium_cuvieri" "Peratherium_elegans" "rule_1b"
"Thylacosmilus_atrox" "Paraborhyaena_boliviana" "rule_2b"
"Argentoconodon_fariasorum" "Volaticotherium_antiquus" "rule_2b"
"Astroconodon_delicatus" "Astroconodon_denisoni" "rule_1b"
"Corviconodon_montanensis" "Corviconodon_utahensis" "rule_1b"
"Docodon_affinis" "Docodon_apoxys" "rule_1b"
"Docodon_affinis" "Docodon_crassus" "rule_1b"
"Docodon_affinis" "Docodon_striatus" "rule_1b"
"Docodon_affinis" "Docodon_superus" "rule_1b"
"Docodon_affinis" "Docodon_victor" "rule_1b"
"Docodon_apoxys" "Docodon_crassus" "rule_1b"
"Docodon_apoxys" "Docodon_striatus" "rule_1b"
"Docodon_apoxys" "Docodon_superus" "rule_1b"
"Docodon_apoxys" "Docodon_victor" "rule_1b"
"Docodon_crassus" "Docodon_striatus" "rule_1b"
"Docodon_crassus" "Docodon_superus" "rule_1b"
"Docodon_crassus" "Docodon_victor" "rule_1b"
"Docodon_striatus" "Docodon_superus" "rule_1b"
"Docodon_striatus" "Docodon_victor" "rule_1b"
"Docodon_superus" "Docodon_victor" "rule_1b"
"Hakusanodon_archaeus" "Juchilestes_liaoningensis" "rule_1b"
"Meiconodon_lii" "Meiconodon_setoguchii" "rule_1b"
"Moschops_koupensis" "Struthiocephalus_whaitsi" "rule_1b"
"Herpetotherium_innominatum" "Herpetotherium_knighti" "rule_1b"
"Herpetotherium_innominatum" "Herpetotherium_merriami" "rule_1b"
"Herpetotherium_innominatum" "Herpetotherium_youngi" "rule_1b"
"Herpetotherium_innominatum" "Herpetotherium_fugax" "rule_2b"
"Herpetotherium_innominatum" "Herpetotherium_valens" "rule_2b"
"Herpetotherium_knighti" "Herpetotherium_merriami" "rule_1b"
"Herpetotherium_knighti" "Herpetotherium_youngi" "rule_1b"
"Herpetotherium_knighti" "Herpetotherium_fugax" "rule_2b"
"Herpetotherium_knighti" "Herpetotherium_valens" "rule_2b"
"Herpetotherium_merriami" "Herpetotherium_youngi" "rule_1b"
"Herpetotherium_merriami" "Herpetotherium_fugax" "rule_2b"
"Herpetotherium_merriami" "Herpetotherium_valens" "rule_2b"
"Herpetotherium_youngi" "Herpetotherium_fugax" "rule_2b"
"Herpetotherium_youngi" "Herpetotherium_valens" "rule_2b"
"Amblotherium_soricinum" "Amblotherium_gracilis" "rule_2b"
"Amblotherium_soricinum" "Amblotherium_nanum" "rule_2b"
"Amblotherium_soricinum" "Amblotherium_pusillum" "rule_2b"
"Groebertherium_novasi" "Groebertherium_stipanicici" "rule_2b"
"Henosferus_molus" "Asfaltomylos_patagonicus" "rule_2b"
"Laolestes_goodrichi" "Laolestes_hodsoni" "rule_1b"
"Laolestes_goodrichi" "Laolestes_oweni" "rule_1b"
